OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20220523-2-NAKED	4	20220523_BOTTOM_2_0004_0001.mp4	293	20220523_TOP_2_0004_0001.mp4	4825	60.08141	233	0.29057	-345.31078	986.93233	-2026.35617	1.65045	4.10865	8.23266	0.11863	2280.21803	27.40244	Unknown	Unknown	Unknown	0	1	AD	Passing			
20220523-2-NAKED	5	20220523_BOTTOM_2_0004_0001.mp4	51137	20220523_TOP_2_0004_0001.mp4	55669	74.21887	251	1.35608	-667.46966	377.67856	-2077.06077	2.93271	1.90591	8.85772	2.71678	2214.12247	20.32264	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220523-2-NAKED	6	20220523_BOTTOM_2_0004_0001.mp4	55969	20220523_TOP_2_0004_0001.mp4	60501	75.56243	251	2.69964	-357.98201	217.52377	-1722.24147	1.46895	1.14044	6.05827	0.91085	1772.45124	13.73037	SUS	SUS	SUS	2	1	AD	Passing			
20220523-3-NAKED	0	20220523_BOTTOM_3_0001_0001.mp4	36553	20220523_TOP_3_0001_0001.mp4	39281	10.16376	212	1.28601	-843.75850	-869.52077	-2241.84944	3.90286	4.06495	10.21245	0.85631	2548.30997	28.30646	Labridae	Coris	caudimacula	37384092	1	AD	Passing			
20220525-3-NAKED	0	20220525_BOTTOM_3_0004_0001.mp4	36559	20220525_TOP_3_0004_0001.mp4	31468	70.16537	218	0.50662	-983.97358	95.61816	-3152.70842	6.42747	1.68266	20.40186	13.28337	3304.07585	17.42439	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220525-3-NAKED	1	20220525_BOTTOM_3_0004_0001.mp4	41554	20220525_TOP_3_0004_0001.mp4	36463	71.55426	218	1.89550	-1158.95109	452.98604	-2949.85210	6.98785	3.10173	17.82399	2.89573	3201.56077	22.91359	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220525-3-NAKED	2	20220525_BOTTOM_3_0004_0001.mp4	41554	20220525_TOP_3_0004_0001.mp4	36463	71.55426	218	1.89550	-1172.10801	-10.31279	-2981.68784	7.17940	1.46438	18.27549	1.91673	3203.81115	21.45993	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220525-4-NAKED	0	20220525_BOTTOM_4_0001_0001.mp4	14841	20220525_TOP_4_0001_0001.mp4	14713	4.12662	228	0.18574	243.64708	1529.44035	-3251.22586	2.12819	9.81309	20.23605	0.31014	3601.25274	25.99435	Carangidae	Decapterus	muroadsi	37337071	1	AD	Passing			
20220525-4-NAKED	3	20220525_BOTTOM_4_0002_0001.mp4	49970	20220525_TOP_4_0002_0001.mp4	49842	33.89442	217	2.45551	-1288.56440	1088.80854	-3367.92388	8.86677	7.69872	23.20185	1.08446	3766.80415	26.69807	Gobiidae		spp		1	AD	Passing			
20220525-4-NAKED	4	20220525_BOTTOM_4_0003_0001.mp4	21622	20220525_TOP_4_0003_0001.mp4	21494	46.01208	223	2.21916	694.02057	-875.29477	-6334.62383	9.01035	11.06989	78.43658	5.78262	6432.36073	9.91076	Carangidae	Carangoides	spp		1	AD	Passing			
20220525-4-NAKED	6	20220525_BOTTOM_4_0003_0001.mp4	57926	20220525_TOP_4_0003_0001.mp4	57798	56.10661	260	0.37760	-710.80270	-556.31345	-2045.23184	3.07108	2.51668	8.58781	0.47484	2235.55326	23.74246	SUS	SUS	SUS	2	1	AD	Passing			
20220525-4-NAKED	11	20220525_BOTTOM_4_0007_0001.mp4	14563	20220525_TOP_4_0007_0001.mp4	14435	124.04920	220	0.36147	-429.23386	1005.48011	-2155.18288	2.07886	4.69700	9.72699	0.63683	2416.61855	27.38560	Unknown	Unknown	Unknown	0	1	AD	Passing			
20220525-4-NAKED	13	20220525_BOTTOM_4_0007_0001.mp4	58002	20220525_TOP_4_0007_0001.mp4	57874	136.12766	268	0.92704	-20.44699	-428.84027	-2927.26979	1.42209	2.82835	17.03882	6.44650	2958.58589	8.22874	Carangidae	Decapterus	muroadsi	37337071	1	AD	Passing			
20220525-4-NAKED	14	20220525_BOTTOM_4_0007_0001.mp4	58002	20220525_TOP_4_0007_0001.mp4	57874	136.12766	268	0.92704	-251.26602	10.47542	-3586.12931	2.47469	1.74123	25.65895	4.78278	3594.93641	4.01785	Carangidae	Decapterus	muroadsi	37337071	1	AD	Passing			
20220525-5-NAKED	1	20220525_BOTTOM_5_0001_0001.mp4	33327	20220525_TOP_5_0001_0001.mp4	33000	9.26676	254	2.90485	-1618.28618	1151.37678	-4045.47544	13.34579	9.78139	33.51005	0.64903	4506.70503	26.23086	SUS	SUS	SUS	2	1	AD	Passing			
20220525-5-NAKED	2	20220525_BOTTOM_5_0001_0001.mp4	33327	20220525_TOP_5_0001_0001.mp4	33000	9.26676	254	2.90485	-964.62871	577.98656	-2630.59610	5.26135	3.40189	14.25207	0.26149	2860.87624	23.21923	SUS	SUS	SUS	2	1	AD	Passing			
20220525-5-NAKED	5	20220525_BOTTOM_5_0002_0001.mp4	5777	20220525_TOP_5_0002_0001.mp4	5450	21.60631	242	2.05483	140.87993	1803.61371	-4417.36450	2.43604	15.43519	38.29623	0.69227	4773.46611	21.89032	Chaetodontidae	Heniochus	acuminatus	37365011	1	AD	Passing			
20220525-5-NAKED	6	20220525_BOTTOM_5_0003_0001.mp4	15934	20220525_TOP_5_0003_0001.mp4	15607	44.43050	257	1.01768	267.06047	1041.27120	-2420.62713	1.71406	5.04554	11.39985	0.05073	2648.58504	24.05705	SUS	SUS	SUS	2	1	AD	Passing			
20220525-5-NAKED	8	20220525_BOTTOM_5_0003_0001.mp4	17686	20220525_TOP_5_0003_0001.mp4	17359	44.91765	257	1.50484	469.97618	2090.96212	-6296.29565	6.37536	25.77915	76.68452	14.88838	6651.04046	18.93623	Unknown	Unknown	Unknown	0	1	AD	Passing			
20220525-5-NAKED	9	20220525_BOTTOM_5_0003_0001.mp4	17686	20220525_TOP_5_0003_0001.mp4	17359	44.91765	257	1.50484	-132.43049	2852.46057	-6388.57961	3.47173	35.84511	79.69242	3.27857	6997.71524	24.22543	Unknown	Unknown	Unknown	0	1	AD	Passing			
20220525-5-NAKED	10	20220525_BOTTOM_5_0003_0001.mp4	21861	20220525_TOP_5_0003_0001.mp4	21534	46.07853	257	2.66572	1241.18226	1582.52295	-6397.33496	15.21918	19.64820	77.87754	10.22535	6706.02765	17.56419	Carangidae	Carangoides	spp		1	AD	Passing			
20220526-3-NAKED	2	20220526_BOTTOM_3_0001_0001.mp4	25972	20220526_TOP_3_0001_0001.mp4	32439	7.22166	258	2.54727	-7.22213	1610.81642	-2718.33417	1.29172	8.48430	14.45112	6.39259	3159.76619	30.26803	Unknown	Unknown	Unknown	0	1	AD	Passing			
20220526-3-NAKED	3	20220526_BOTTOM_3_0002_0001.mp4	20615	20220526_TOP_3_0002_0001.mp4	27082	25.73210	234	2.35485	-1087.86941	1308.00771	-2831.62883	6.21919	7.43923	16.20641	0.27466	3303.40216	30.70503	Unknown	Unknown	Unknown	0	1	AD	Passing			
