OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
15	10	1	1331.28076	663.49776	1405.17350	663.49776
15	11	0	535.41956	308.74439	545.11041	328.11659
15	11	1	804.34069	405.60538	798.28391	409.23767
15	12	0	373.09779	670.76233	250.75079	671.97309
15	12	1	633.53943	678.02691	529.36278	676.81614
15	13	0	1397.90536	797.89238	1287.67192	785.78475
15	13	1	1645.02208	739.77578	1574.76341	724.03587
15	14	0	1337.33754	525.47085	1370.04416	510.94170
15	14	1	1179.86120	498.83408	1212.56782	491.56951
15	15	0	744.98423	595.69507	703.79811	604.17040
15	15	1	941.22397	607.80269	902.46057	611.43498
15	16	0	1395.48265	713.13901	1328.85804	701.03139
15	16	1	1214.99054	710.71749	1107.17981	699.82063
15	17	0	1640.17666	541.21076	1738.29653	519.41704
15	17	1	1464.52997	577.53363	1537.21136	558.16143
15	18	0	914.57413	444.34978	959.39432	450.40359
15	18	1	793.43849	411.65919	826.14511	421.34529
15	19	0	1324.01262	642.91480	1303.41956	632.01794
15	19	1	1141.09779	653.81166	1109.60252	651.39013
15	20	0	1150.78864	728.87892	1122.92744	730.08969
15	20	1	1309.47634	664.70852	1262.23344	655.02242
15	21	0	1253.75394	722.82511	1185.91798	717.98206
15	21	1	1028.44164	663.49776	959.39432	658.65471
15	22	0	1760.70662	650.78027	1919.39432	633.49776
15	22	1	1618.97792	642.91031	1741.93060	629.86547
15	23	0	717.12303	395.91928	839.47003	414.08072
15	24	0	848.76025	491.26009	955.76972	501.83857
15	24	1	639.80126	465.83408	761.34700	486.70404
15	25	0	96.90852	440.97309	215.62145	477.28700
15	25	1	250.14511	450.05381	336.75710	479.10314
15	26	0	608.10095	710.71749	439.72240	707.08520
15	26	1	245.90536	652.60090	117.50158	661.07623
15	27	0	1735.87382	839.05830	1548.11356	825.73991
15	27	1	1456.05047	668.34081	1309.47634	653.81166
15	28	0	1355.50789	742.19731	1218.62461	730.08969
15	28	1	1177.43849	676.81614	1064.78233	664.70852
