"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","location","status","depth","successful.count","successful.length"
"2020-10_south-west_BOSS","267","20201108_1136-1340_TOP_0001.avi","0.11734","Pomacentridae","Chromis","klunzingeri",7,"-34.0262","114.7639","20201108",NA,NA,"62.7","Yes",NA
"2020-10_south-west_BOSS","267","20201108_1136-1340_TOP_0001.avi","0.75019","Scorpididae","Neatypus","obliquus",12,"-34.0262","114.7639","20201108",NA,NA,"62.7","Yes",NA
"2020-10_south-west_BOSS","267","20201108_1136-1340_TOP_0001.avi","0.21855","Serranidae","Caesioperca","spp",11,"-34.0262","114.7639","20201108",NA,NA,"62.7","Yes",NA
"2020-10_south-west_BOSS","267","20201108_1136-1340_TOP_0002.avi","1.71838","Sparidae","Chrysophrys","auratus",1,"-34.0262","114.7639","20201108",NA,NA,"62.7","Yes",NA
"2020-10_south-west_BOSS","275","20201111_0717-0810_TOP_0004.avi","2.78111","Callanthiidae","Callanthias","australis",27,"-34.0987","114.6464","20201111",NA,NA,"139","Yes",NA
"2020-10_south-west_BOSS","275","20201111_0717-0810_TOP_0004.avi","2.16049","Monacanthidae","Nelusetta","ayraud",2,"-34.0987","114.6464","20201111",NA,NA,"139","Yes",NA
"2020-10_south-west_BOSS","275","20201111_0717-0810_TOP_0004.avi","0.69625","Neosebastidae","Neosebastes","pandus",1,"-34.0987","114.6464","20201111",NA,NA,"139","Yes",NA
"2020-10_south-west_BOSS","276","20201111_0717-0810_TOP_0004.avi","2.43966","Callanthiidae","Callanthias","australis",24,"-34.1012","114.6364","20201111",NA,NA,"141","Yes",NA
"2020-10_south-west_BOSS","276","20201111_0717-0810_TOP_0004.avi","1.34635","Gerreidae","Paraquula","elongata",2,"-34.1012","114.6364","20201111",NA,NA,"141","Yes",NA
"2020-10_south-west_BOSS","276","20201111_0717-0810_TOP_0004.avi","2.93738","Gerreidae","Parequula","elongata",2,"-34.1012","114.6364","20201111",NA,NA,"141","Yes",NA
"2020-10_south-west_BOSS","278","20201104_0737-1129_TOP_0002.avi","2.67267","Callanthiidae","Callanthias","australis",108,"-34.1112","114.6389","20201104",NA,NA,"140","Yes",NA
"2020-10_south-west_BOSS","278","20201104_0737-1129_TOP_0002.avi","0.92148","Monacanthidae","Nelusetta","ayraud",2,"-34.1112","114.6389","20201104",NA,NA,"140","Yes",NA
"2020-10_south-west_BOSS","278REDO","20201111_0717-0810_TOP_0002.avi","1.33467","Callanthiidae","Callanthias","australis",6,"-34.1112","114.6389","20201111",NA,NA,"140","Yes",NA
"2020-10_south-west_BOSS","278REDO","20201111_0717-0810_TOP_0002.avi","2.47914","Gerreidae","Parequula","elongata",1,"-34.1112","114.6389","20201111",NA,NA,"140","Yes",NA
"2020-10_south-west_BOSS","278REDO","20201111_0717-0810_TOP_0002.avi","0.90312","Monacanthidae","Nelusetta","ayraud",1,"-34.1112","114.6389","20201111",NA,NA,"140","Yes",NA
"2020-10_south-west_BOSS","278REDO","20201111_0717-0810_TOP_0002.avi","1.76232","Oplegnathidae","Oplegnathus","woodwardi",1,"-34.1112","114.6389","20201111",NA,NA,"140","Yes",NA
"2020-10_south-west_BOSS","284","20201107_1030-1330_TOP_0001.avi","1.66388","Berycidae","Centroberyx","gerrardi",1,"-34.0662","114.4764","20201107",NA,NA,"230","Yes",NA
"2020-10_south-west_BOSS","284","20201107_1030-1330_TOP_0001.avi","2.64820","Oplegnathidae","Oplegnathus","woodwardi",3,"-34.0662","114.4764","20201107",NA,NA,"230","Yes",NA
"2020-10_south-west_BOSS","284","20201107_1030-1330_TOP_0001.avi","1.02547","Squalidae","Squalus","spp",3,"-34.0662","114.4764","20201107",NA,NA,"230","Yes",NA
"2020-10_south-west_BOSS","290","20201108_0653-1053_TOP_0003.avi","0.56056","Oplegnathidae","Oplegnathus","woodwardi",1,"-34.0687","114.7189","20201108",NA,NA,"124","Yes",NA
"2020-10_south-west_BOSS","297","20201104_1211-1516_TOP_0009.avi","1.83016","Monacanthidae","Nelusetta","ayraud",4,"-34.1062","114.7489","20201104",NA,NA,"115","Yes",NA
"2020-10_south-west_BOSS","297","20201104_1211-1516_TOP_0009.avi","1.53987","Neosebastidae","Neosebastes","pandus",2,"-34.1062","114.7489","20201104",NA,NA,"115","Yes",NA
"2020-10_south-west_BOSS","3","20201108_0653-1053_TOP_0008.avi","2.80502","Labridae","Coris","auricularis",1,"-34.0762","114.7839","20201108",NA,NA,"61.4","Yes",NA
"2020-10_south-west_BOSS","3","20201108_0653-1053_TOP_0008.avi","1.26404","Labridae","Suezichthys","bifurcatus",3,"-34.0762","114.7839","20201108",NA,NA,"61.4","Yes",NA
"2020-10_south-west_BOSS","3","20201108_0653-1053_TOP_0008.avi","1.79179","Scorpididae","Neatypus","obliquus",4,"-34.0762","114.7839","20201108",NA,NA,"61.4","Yes",NA
"2020-10_south-west_BOSS","3","20201108_0653-1053_TOP_0008.avi","1.96919","Serranidae","Caesioperca","spp",3,"-34.0762","114.7839","20201108",NA,NA,"61.4","Yes",NA
"2020-10_south-west_BOSS","3","20201108_0653-1053_TOP_0008.avi","0.49105","SUS","SUS","SUS",4,"-34.0762","114.7839","20201108",NA,NA,"61.4","Yes",NA
"2020-10_south-west_BOSS","302","20201108_0653-1053_TOP_0004.avi","1.19008","Oplegnathidae","Oplegnathus","woodwardi",1,"-34.0712","114.7239","20201108",NA,NA,"122","Yes",NA
"2020-10_south-west_BOSS","308","20201104_0737-1129_TOP_0013.avi","1.02046","Labridae","Suezichthys","bifurcatus",1,"-34.1112","114.7289","20201104",NA,NA,"125","Yes",NA
"2020-10_south-west_BOSS","310","20201108_0653-1053_TOP_0011.avi","1.57602","Labridae","Coris","auricularis",26,"-34.0587","114.7739","20201108",NA,NA,"64.1","Yes",NA
"2020-10_south-west_BOSS","310","20201108_0653-1053_TOP_0011.avi","0.81470","Labridae","Suezichthys","bifurcatus",3,"-34.0587","114.7739","20201108",NA,NA,"64.1","Yes",NA
"2020-10_south-west_BOSS","310","20201108_0653-1053_TOP_0011.avi","1.05439","Mullidae","Parupeneus","chrysopleuron",1,"-34.0587","114.7739","20201108",NA,NA,"64.1","Yes",NA
"2020-10_south-west_BOSS","310","20201108_0653-1053_TOP_0011.avi","1.05439","Serranidae","Caesioperca","spp",4,"-34.0587","114.7739","20201108",NA,NA,"64.1","Yes",NA
"2020-10_south-west_BOSS","310","20201108_0653-1053_TOP_0011.avi","0.51663","SUS","SUS","SUS",1,"-34.0587","114.7739","20201108",NA,NA,"64.1","Yes",NA
"2020-10_south-west_BOSS","311","20201108_0653-1053_TOP_0011.avi","1.68669","Labridae","Coris","auricularis",2,"-34.0562","114.7689","20201108",NA,NA,"67.2","Yes",NA
"2020-10_south-west_BOSS","311","20201108_0653-1053_TOP_0011.avi","1.14837","Labridae","Suezichthys","bifurcatus",1,"-34.0562","114.7689","20201108",NA,NA,"67.2","Yes",NA
"2020-10_south-west_BOSS","311","20201108_0653-1053_TOP_0011.avi","1.29630","Labridae",NA,NA,1,"-34.0562","114.7689","20201108",NA,NA,"67.2","Yes",NA
"2020-10_south-west_BOSS","311","20201108_0653-1053_TOP_0011.avi","1.77733","Sparidae","Chrysophrys","auratus",1,"-34.0562","114.7689","20201108",NA,NA,"67.2","Yes",NA
"2020-10_south-west_BOSS","312","20201108_0653-1053_TOP_0010.avi","1.12501","Labridae","Coris","auricularis",23,"-34.0662","114.7764","20201108",NA,NA,"65.2","Yes",NA
"2020-10_south-west_BOSS","313","20201104_1211-1516_TOP_0011.avi","0.12012","SUS","SUS","SUS",1,"-34.0962","114.7564","20201104",NA,NA,"105","Yes",NA
"2020-10_south-west_BOSS","321","20201107_1030-1330_TOP_0002.avi","0.85141","Oplegnathidae","Oplegnathus","woodwardi",4,"-34.0482","114.4681","20201107",NA,NA,"242","Yes",NA
"2020-10_south-west_BOSS","321","20201107_1030-1330_TOP_0003.avi","1.40307","Squalidae","Squalus","spp",1,"-34.0482","114.4681","20201107",NA,NA,"242","Yes",NA
"2020-10_south-west_BOSS","321","20201107_1030-1330_TOP_0002.avi","0.04449","SUS","SUS","SUS",14,"-34.0482","114.4681","20201107",NA,NA,"242","Yes",NA
"2020-10_south-west_BOSS","324","20201111_1042-1440_TOP_0002.avi","1.27739","Monacanthidae","Nelusetta","ayraud",1,"-33.9984","114.6406","20201111",NA,NA,"142","Yes",NA
"2020-10_south-west_BOSS","324","20201111_1042-1440_TOP_0002.avi","2.34623","Oplegnathidae","Oplegnathus","woodwardi",1,"-33.9984","114.6406","20201111",NA,NA,"142","Yes",NA
"2020-10_south-west_BOSS","325","20201108_1136-1340_TOP_0003.avi","1.47036","Labridae","Coris","auricularis",1,"-33.9918","114.7443","20201108",NA,NA,"82.4","Yes",NA
"2020-10_south-west_BOSS","325","20201108_1136-1340_TOP_0003.avi","0.33367","Labridae","Suezichthys","bifurcatus",1,"-33.9918","114.7443","20201108",NA,NA,"82.4","Yes",NA
"2020-10_south-west_BOSS","325","20201108_1136-1340_TOP_0003.avi","0.25970","Scorpididae","Neatypus","obliquus",10,"-33.9918","114.7443","20201108",NA,NA,"82.4","Yes",NA
