"unique_id","scientific","maxn","family","genus","species","campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length","method","length","number"
"2022-05_PtCloates_stereo-BRUVS_47","Acanthuridae Naso fageni",53,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","47",-22.6999,113.5592,20220522,"12:59:50",NA,NA,NA,80.8,"Kaitlin McCloghry","Yes","Yes","BRUV",474.2816,1
"2022-05_PtCloates_stereo-BRUVS_47","Acanthuridae Naso fageni",53,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","47",-22.6999,113.5592,20220522,"12:59:50",NA,NA,NA,80.8,"Kaitlin McCloghry","Yes","Yes","BRUV",NA,35
"2022-05_PtCloates_stereo-BRUVS_47","Acanthuridae Naso fageni",53,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","47",-22.6999,113.5592,20220522,"12:59:50",NA,NA,NA,80.8,"Kaitlin McCloghry","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_48","Acanthuridae Naso fageni",2,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","48",-22.696,113.5596,20220522,"14:21:46",NA,NA,NA,80.2,"Henry Evans","Yes","Yes","BRUV",555.47911,1
"2022-05_PtCloates_stereo-BRUVS_48","Acanthuridae Naso fageni",2,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","48",-22.696,113.5596,20220522,"14:21:46",NA,NA,NA,80.2,"Henry Evans","Yes","Yes","BRUV",451.70001,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",651.09396,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",312.01548,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",320.13748,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",381.45774,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_51","Acanthuridae Naso fageni",14,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","51",-22.69,113.5609,20220522,"14:49:13",NA,NA,NA,79.4,"Henry Evans","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_62","Acanthuridae Naso fageni",1,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","62",-22.7375,113.542,20220520,"14:11:26",NA,NA,NA,90.1,"Henry Evans","Yes","Yes","BRUV",504.76105,1
"2022-05_PtCloates_stereo-BRUVS_64","Acanthuridae Naso fageni",8,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","64",-22.7343,113.5508,20220520,"14:30:16",NA,NA,NA,79.2,"Kaitlin McCloghry","Yes","Yes","BRUV",596.2774,1
"2022-05_PtCloates_stereo-BRUVS_64","Acanthuridae Naso fageni",8,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","64",-22.7343,113.5508,20220520,"14:30:16",NA,NA,NA,79.2,"Kaitlin McCloghry","Yes","Yes","BRUV",485.29801,1
"2022-05_PtCloates_stereo-BRUVS_64","Acanthuridae Naso fageni",8,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","64",-22.7343,113.5508,20220520,"14:30:16",NA,NA,NA,79.2,"Kaitlin McCloghry","Yes","Yes","BRUV",416.71717,1
"2022-05_PtCloates_stereo-BRUVS_64","Acanthuridae Naso fageni",8,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","64",-22.7343,113.5508,20220520,"14:30:16",NA,NA,NA,79.2,"Kaitlin McCloghry","Yes","Yes","BRUV",478.54941,1
"2022-05_PtCloates_stereo-BRUVS_64","Acanthuridae Naso fageni",8,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","64",-22.7343,113.5508,20220520,"14:30:16",NA,NA,NA,79.2,"Kaitlin McCloghry","Yes","Yes","BRUV",450.55707,1
"2022-05_PtCloates_stereo-BRUVS_64","Acanthuridae Naso fageni",8,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","64",-22.7343,113.5508,20220520,"14:30:16",NA,NA,NA,79.2,"Kaitlin McCloghry","Yes","Yes","BRUV",466.39187,1
"2022-05_PtCloates_stereo-BRUVS_64","Acanthuridae Naso fageni",8,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","64",-22.7343,113.5508,20220520,"14:30:16",NA,NA,NA,79.2,"Kaitlin McCloghry","Yes","Yes","BRUV",437.6038,1
"2022-05_PtCloates_stereo-BRUVS_64","Acanthuridae Naso fageni",8,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","64",-22.7343,113.5508,20220520,"14:30:16",NA,NA,NA,79.2,"Kaitlin McCloghry","Yes","Yes","BRUV",NA,1
"2022-05_PtCloates_stereo-BRUVS_9","Acanthuridae Naso fageni",6,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","9",-22.6934,113.5571,20220522,"14:27:15",NA,NA,NA,84.9,"Henry Evans","Yes","Yes","BRUV",443.48496,1
"2022-05_PtCloates_stereo-BRUVS_9","Acanthuridae Naso fageni",6,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","9",-22.6934,113.5571,20220522,"14:27:15",NA,NA,NA,84.9,"Henry Evans","Yes","Yes","BRUV",451.48404,1
"2022-05_PtCloates_stereo-BRUVS_9","Acanthuridae Naso fageni",6,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","9",-22.6934,113.5571,20220522,"14:27:15",NA,NA,NA,84.9,"Henry Evans","Yes","Yes","BRUV",384.01697,1
"2022-05_PtCloates_stereo-BRUVS_9","Acanthuridae Naso fageni",6,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","9",-22.6934,113.5571,20220522,"14:27:15",NA,NA,NA,84.9,"Henry Evans","Yes","Yes","BRUV",546.31289,1
"2022-05_PtCloates_stereo-BRUVS_9","Acanthuridae Naso fageni",6,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","9",-22.6934,113.5571,20220522,"14:27:15",NA,NA,NA,84.9,"Henry Evans","Yes","Yes","BRUV",447.73078,1
"2022-05_PtCloates_stereo-BRUVS_9","Acanthuridae Naso fageni",6,"Acanthuridae","Naso","fageni","2022-05_PtCloates_stereo-BRUVS","9",-22.6934,113.5571,20220522,"14:27:15",NA,NA,NA,84.9,"Henry Evans","Yes","Yes","BRUV",369.49737,1
