sample,scientific,maxn,family,genus,species,campaignid,latitude,longitude,date.time,location,status,depth,successful.count,successful.length,id
261,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.6899,113.5608,26/05/2022 7:21,Point Cloates,No-take,78.8,Yes,Yes,2022-05_PtCloates_Naked-BOSS.261
262,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7635,113.5347,19/05/2022 2:45,Point Cloates,No-take,91,Yes,Yes,2022-05_PtCloates_Naked-BOSS.262
263,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.684,113.5635,27/05/2022 1:17,Point Cloates,No-take,77.7,Yes,Yes,2022-05_PtCloates_Naked-BOSS.263
264,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7655,113.5389,19/05/2022 2:34,Point Cloates,No-take,81.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.264
265,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7561,113.529,19/05/2022 2:58,Point Cloates,No-take,99.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.265
266,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7531,113.5301,19/05/2022 3:11,Point Cloates,No-take,98.5,Yes,Yes,2022-05_PtCloates_Naked-BOSS.266
267,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.6751,113.5615,27/05/2022 2:02,Point Cloates,No-take,88.4,Yes,Yes,2022-05_PtCloates_Naked-BOSS.267
268,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7054,113.5501,25/05/2022 7:12,Point Cloates,No-take,90.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.268
269,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7429,113.5458,21/05/2022 6:27,Point Cloates,No-take,83.1,Yes,Yes,2022-05_PtCloates_Naked-BOSS.269
27,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7635,113.4964,19/05/2021 5:00,Point Cloates,Fished,162,Yes,Yes,2021-05_PtCloates_BOSS.27
270,Apogonidae Apogon sp1,125,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7511,113.5387,19/05/2022 3:37,Point Cloates,No-take,91,Yes,Yes,2022-05_PtCloates_Naked-BOSS.270
271,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.6776,113.5654,27/05/2022 1:32,Point Cloates,No-take,79.5,Yes,Yes,2022-05_PtCloates_Naked-BOSS.271
272,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7374,113.5422,21/05/2022 7:45,Point Cloates,No-take,89.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.272
273,Apogonidae Apogon sp1,5,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.6741,113.5665,27/05/2022 1:48,Point Cloates,No-take,77.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.273
274,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7343,113.5502,23/05/2022 0:50,Point Cloates,No-take,79.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.274
28,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7585,113.4762,19/05/2021 3:26,Point Cloates,Fished,206,Yes,Yes,2021-05_PtCloates_BOSS.28
29,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7758,113.494,19/05/2021 6:05,Point Cloates,Fished,152,Yes,Yes,2021-05_PtCloates_BOSS.29
30,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7887,113.4839,19/05/2021 6:46,Point Cloates,Fished,169,Yes,Yes,2021-05_PtCloates_BOSS.30
31,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7936,113.5041,19/05/2021 7:43,Point Cloates,Fished,116,Yes,Yes,2021-05_PtCloates_BOSS.31
32,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7537,113.4863,19/05/2021 3:44,Point Cloates,Fished,194,Yes,Yes,2021-05_PtCloates_BOSS.32
33,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7163,113.4963,20/05/2021 1:54,Point Cloates,Fished,207,Yes,Yes,2021-05_PtCloates_BOSS.33
34,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7662,113.4889,19/05/2021 5:14,Point Cloates,Fished,179,Yes,Yes,2021-05_PtCloates_BOSS.34
36,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7564,113.4711,19/05/2021 3:08,Point Cloates,Fished,215,Yes,Yes,2021-05_PtCloates_BOSS.36
37,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7836,113.4886,19/05/2021 6:32,Point Cloates,Fished,156,Yes,Yes,2021-05_PtCloates_BOSS.37
39,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7938,113.4843,19/05/2021 7:14,Point Cloates,Fished,156,Yes,Yes,2021-05_PtCloates_BOSS.39
4,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7113,113.5415,20/05/2021 3:01,Point Cloates,No-take,100,Yes,Yes,2021-05_PtCloates_BOSS.4
40,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7809,113.4964,19/05/2021 6:17,Point Cloates,Fished,138,Yes,Yes,2021-05_PtCloates_BOSS.40
42,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7887,113.4764,19/05/2021 7:00,Point Cloates,Fished,184,Yes,Yes,2021-05_PtCloates_BOSS.42
43,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7587,113.4991,19/05/2021 4:47,Point Cloates,Fished,160,Yes,Yes,2021-05_PtCloates_BOSS.43
44,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7912,113.5064,19/05/2021 7:52,Point Cloates,Fished,114,Yes,Yes,2021-05_PtCloates_BOSS.44
45,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7512,113.4889,19/05/2021 4:28,Point Cloates,Fished,191,Yes,Yes,2021-05_PtCloates_BOSS.45
46,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7463,113.5214,20/05/2021 0:47,Point Cloates,Fished,113,Yes,Yes,2021-05_PtCloates_BOSS.46
47,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7637,113.4839,19/05/2021 5:28,Point Cloates,Fished,190,Yes,Yes,2021-05_PtCloates_BOSS.47
48,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7712,113.4688,19/05/2021 5:44,Point Cloates,Fished,208,Yes,Yes,2021-05_PtCloates_BOSS.48
49,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7986,113.4864,19/05/2021 7:28,Point Cloates,Fished,148,Yes,Yes,2021-05_PtCloates_BOSS.49
50,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7026,113.556,20/05/2021 4:11,Point Cloates,No-take,77.6,Yes,Yes,2021-05_PtCloates_BOSS.50
7,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7462,113.5314,20/05/2021 0:33,Point Cloates,No-take,99.6,Yes,Yes,2021-05_PtCloates_BOSS.7
9,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.6937,113.5389,20/05/2021 4:21,Point Cloates,No-take,114,Yes,Yes,2021-05_PtCloates_BOSS.9
M1,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7228,113.4986,20/05/2021 1:38,Point Cloates,Fished,197,Yes,Yes,2021-05_PtCloates_BOSS.M1
1,Apogonidae Ostorhinchus aureus,0,Apogonidae,Ostorhinchus,aureus,2021-05_PtCloates_BOSS,-22.6886,113.5539,20/05/2021 5:03,Point Cloates,No-take,93.6,Yes,Yes,2021-05_PtCloates_BOSS.1
10,Apogonidae Ostorhinchus aureus,0,Apogonidae,Ostorhinchus,aureus,2021-05_PtCloates_BOSS,-22.6887,113.5238,20/05/2021 4:02,Point Cloates,No-take,176,Yes,Yes,2021-05_PtCloates_BOSS.10
12,Apogonidae Ostorhinchus aureus,0,Apogonidae,Ostorhinchus,aureus,2021-05_PtCloates_BOSS,-22.7137,113.5364,20/05/2021 2:49,Point Cloates,No-take,107,Yes,Yes,2021-05_PtCloates_BOSS.12
