"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","id"
"10","Pinguipedidae","Parapercis","nebulosa",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Pomacanthidae","Pomacanthus","semicirculatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Pomacentridae","Amblypomacentrus","breviceps",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Priacanthidae","Priacanthus","hamrur",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Serranidae","Cephalopholis","sonnerati",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Serranidae","Epinephelus","areolatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Serranidae","Epinephelus","multinotatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Serranidae","Pseudanthias","georgei",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"12","Apogonidae","Ostorhinchus","aureus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Balistidae","Sufflamen","fraenatum",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Balistidae","Xanthichthys","lineopunctatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Caesionidae","Pterocaesio","chrysozona",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Carangidae","Carangoides","chrysophrys",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
