"sample","scientific","maxn","family","genus","species","campaignid","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length","id"
46,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.693,113.5605,20220522,14:30:54,"NA","NA","NA",79.5,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.46"
47,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.6999,113.5592,20220522,12:59:50,"NA","NA","NA",80.8,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.47"
48,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.696,113.5596,20220522,14:21:46,"NA","NA","NA",80.2,"Henry Evans","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.48"
49,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7309,113.5443,20220520,14:20:55,"NA","NA","NA",89.5,"N/A","No","No","2022-05_PtCloates_stereo-BRUVS.49"
50,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7173,113.5528,20220522,10:14:30,"NA","NA","NA",81.9,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.50"
51,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.69,113.5609,20220522,14:49:13,"NA","NA","NA",79.4,"Henry Evans","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.51"
52,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7635,113.5348,20220520,08:50:37,"NA","NA","NA",91,"Molly Gerrans","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.52"
53,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.6839,113.5636,20220526,08:29:10,"NA","NA","NA",78.2,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.53"
54,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7654,113.5392,20220520,08:32:36,"NA","NA","NA",83.1,"Molly Gerrans","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.54"
55,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7564,113.529,20220520,09:48:49,"NA","NA","NA",89.1,"test video","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.55"
56,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7534,113.5302,20220520,10:09:08,"NA","NA","NA",99.8,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.56"
57,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.6751,113.561,20220526,08:11:51,"NA","NA","NA",88.2,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.57"
58,"Acanthuridae Naso brachycentron",0,"Acanthuridae","Naso","brachycentron","2022-05_PtCloates_stereo-BRUVS",-22.7056,113.5502,20220522,12:28:44,"NA","NA","NA",90.9,"Kaitlin McCloghry","Yes","Yes","2022-05_PtCloates_stereo-BRUVS.58"
