"campaignid","family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"2021-05_PtCloates_BRUVS","Labridae","Unknown","na",0.009,0.009,0.009,8.38,8.38,8.38
"2021-05_PtCloates_BRUVS","Cirrhitidae","Paracirrhites","forsteri",0.007,0.025,0.001,4.65,7.92,13.13
"2022-05_PtCloates_stereo-BRUVS","Labridae","Diproctacanthus","xanthurus",0.007,0.007,0.007,9.13,9.13,9.13
"2022-05_PtCloates_stereo-BRUVS","Labridae","Unknown","na",0.007,0.009,0.006,7.22,7.8,8.38
"2021-05_PtCloates_BRUVS","Labridae","Coris","caudimacula",0.007,0.011,0.003,6.7,8.27,9.83
"2022-05_PtCloates_stereo-BRUVS","Cirrhitidae","Paracirrhites","forsteri",0.006,0.025,0.001,4.65,7.77,13.13
"2021-05_PtCloates_BRUVS","Gobiidae","Unknown","spp",0.006,0.006,0.006,8.62,8.62,8.62
"2022-05_PtCloates_stereo-BRUVS","Gobiidae","Unknown","spp",0.006,0.006,0.006,8.62,8.62,8.62
"2022-05_PtCloates_stereo-BRUVS","Pinguipedidae","Parapercis","nebulosa",0.005,0.041,0,3.64,7.85,17.15
"2021-05_PtCloates_BRUVS","Pinguipedidae","Parapercis","nebulosa",0.005,0.041,0,3.64,7.47,17.15
"2022-05_PtCloates_stereo-BRUVS","Nemipteridae","Pentapodus","vitta",0.005,0.007,0.003,5.89,6.84,7.79
"2021-05_PtCloates_BRUVS","Cirrhitidae","Cirrhitichthys","aprinus",0.005,0.007,0.004,6.14,6.64,7.61
"2022-05_PtCloates_stereo-BRUVS","Labridae","Coris","caudimacula",0.005,0.011,0.001,3.77,6.99,9.83
"2022-05_PtCloates_stereo-BRUVS","Cirrhitidae","Cirrhitichthys","aprinus",0.005,0.007,0.004,6.14,6.59,7.61
"2022-05_PtCloates_stereo-BRUVS","Lethrinidae","Lethrinus","spp",0.005,0.005,0.005,6.06,6.06,6.06
"2022-05_PtCloates_stereo-BRUVS","Mullidae","Upeneus","moluccensis",0.004,0.012,0.001,3.52,5.4,8.66
"2021-05_PtCloates_BRUVS","Serranidae","Pseudanthias","fasciata",0.004,0.006,0.003,5.83,6.64,7.64
"2022-05_PtCloates_stereo-BRUVS","Serranidae","Pseudanthias","fasciata",0.004,0.006,0.003,5.83,6.64,7.64
"2022-05_PtCloates_stereo-BRUVS","Labridae","Suezichthys","cyanolaemus",0.004,0.006,0,3.96,8.28,10.01
"2021-05_PtCloates_BRUVS","Cirrhitidae","Cyprinocirrhites","polyactis",0.003,0.005,0.001,3.1,5.03,6.14
"2022-05_PtCloates_stereo-BRUVS","Cirrhitidae","Cyprinocirrhites","polyactis",0.003,0.005,0.001,3.1,5.03,6.14
"2021-05_PtCloates_BRUVS","Labridae","Suezichthys","cyanolaemus",0.002,0.005,0,3.96,6.53,9.1
"2022-05_PtCloates_stereo-BRUVS","Pinguipedidae","Parapercis","spp",0.002,0.002,0.002,6.06,6.06,6.06
"2021-05_PtCloates_BRUVS","Mullidae","Upeneus","moluccensis",0.002,0.003,0.001,3.52,4.59,5.13
"2022-05_PtCloates_stereo-BRUVS","Pinguipedidae","Parapercis","clathrata",0.002,0.002,0.002,5.96,5.96,5.96
"2021-05_PtCloates_BRUVS","Monacanthidae","Unknown","na",0.001,0.001,0.001,3.3,3.3,3.3
"2022-05_PtCloates_stereo-BRUVS","Monacanthidae","Unknown","na",0.001,0.001,0.001,3.3,3.3,3.3
"2022-05_PtCloates_stereo-BRUVS","Malacanthidae","Malacanthus","latovittatus",0,0,0,1.55,1.55,1.55
