"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2021-05_PtCloates_BRUVS","18","L029 (03).MP4","7.44522","Sparidae","Dentex","spp",30,"-22.7311","113.4913","20210519","8:40","Point Cloates","Fished","outNP.6","204","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","18","L029 (04).MP4","29.45999","Tetraodontidae","Lagocephalus","lunaris",1,"-22.7311","113.4913","20210519","8:40","Point Cloates","Fished","outNP.6","204","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","19","L033 (03).MP4","4.93799","Carangidae","Carangoides","equula",1,"-22.7437","113.484","20210519","8:53","Point Cloates","Fished","outNP.7","206","Gabby Cummins","Yes",NA
"2021-05_PtCloates_BRUVS","19","L033 (03).MP4","11.83655","Carcharhinidae","Carcharhinus","plumbeus",1,"-22.7437","113.484","20210519","8:53","Point Cloates","Fished","outNP.7","206","Gabby Cummins","Yes",NA
"2021-05_PtCloates_BRUVS","19","L033 (04).MP4","16.46784","Sparidae","Dentex","spp",57,"-22.7437","113.484","20210519","8:53","Point Cloates","Fished","outNP.7","206","Gabby Cummins","Yes",NA
"2021-05_PtCloates_BRUVS","2","L031 (10).MP4","19.18750","Carangidae","Carangoides","chrysophrys",1,"-22.7108","113.5386","20210518","14:46","Point Cloates","No-take","inNP.2","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","2","L031 (11).MP4","48.42032","Carcharhinidae",NA,"spp",1,"-22.7108","113.5386","20210518","14:46","Point Cloates","No-take","inNP.2","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","2","L031 (11).MP4","49.48138","Labridae","Bodianus","solatus",2,"-22.7108","113.5386","20210518","14:46","Point Cloates","No-take","inNP.2","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","2","L031 (11).MP4","46.98777","Lethrinidae","Gymnocranius","sp1",3,"-22.7108","113.5386","20210518","14:46","Point Cloates","No-take","inNP.2","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","2","L031 (10).MP4","34.80560","Lethrinidae","Lethrinus","miniatus",7,"-22.7108","113.5386","20210518","14:46","Point Cloates","No-take","inNP.2","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","2","L031 (10).MP4","31.88352","Lutjanidae","Lutjanus","sebae",1,"-22.7108","113.5386","20210518","14:46","Point Cloates","No-take","inNP.2","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","2","L031 (11).MP4","58.41836","Lutjanidae","Pristipomoides","sp1",17,"-22.7108","113.5386","20210518","14:46","Point Cloates","No-take","inNP.2","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","2","L031 (09).MP4","2.70048","Mullidae","Parupeneus","chrysopleuron",1,"-22.7108","113.5386","20210518","14:46","Point Cloates","No-take","inNP.2","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","2","L031 (09).MP4","1.13196","Pinguipedidae","Parapercis","nebulosa",1,"-22.7108","113.5386","20210518","14:46","Point Cloates","No-take","inNP.2","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","2","L031 (10).MP4","30.97038","Serranidae","Epinephelus","areolatus",2,"-22.7108","113.5386","20210518","14:46","Point Cloates","No-take","inNP.2","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","2","L031 (11).MP4","40.59528","Serranidae","Epinephelus","rivulatus",1,"-22.7108","113.5386","20210518","14:46","Point Cloates","No-take","inNP.2","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","2","L031 (11).MP4","44.29286","Sphyraenidae","Sphyraena","spp",1,"-22.7108","113.5386","20210518","14:46","Point Cloates","No-take","inNP.2","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","21","L043 (05).MP4","57.24302","Labridae","Choerodon","zamboangae",1,"-22.7563","113.5189","20210518","12:36","Point Cloates","Fished","outNP.9","112","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","21","L043 (04).MP4","34.46721","Lethrinidae","Gymnocranius","sp1",2,"-22.7563","113.5189","20210518","12:36","Point Cloates","Fished","outNP.9","112","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","21","L043 (05).MP4","55.28245","Lethrinidae","Lethrinus","miniatus",7,"-22.7563","113.5189","20210518","12:36","Point Cloates","Fished","outNP.9","112","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","21","L043 (03).MP4","6.74313","Lutjanidae","Pristipomoides","sp1",1,"-22.7563","113.5189","20210518","12:36","Point Cloates","Fished","outNP.9","112","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","21","L043 (03).MP4","19.42162","Nemipteridae","Parascolopsis","inermis",1,"-22.7563","113.5189","20210518","12:36","Point Cloates","Fished","outNP.9","112","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","21","L043 (03).MP4","11.71170","Pinguipedidae","Parapercis","nebulosa",5,"-22.7563","113.5189","20210518","12:36","Point Cloates","Fished","outNP.9","112","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","21","L043 (03).MP4","21.39137","Serranidae","Epinephelus","rivulatus",1,"-22.7563","113.5189","20210518","12:36","Point Cloates","Fished","outNP.9","112","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","21","L043 (03).MP4","7.71104","SUS","SUS","SUS",1,"-22.7563","113.5189","20210518","12:36","Point Cloates","Fished","outNP.9","112","Gabby Cummins","Yes","Yes"
