"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id"
"npz6.39","Labridae","Coris","auricularis",109.81746,1827.21109,1,15.2916541610619,10.981746,"2021-05_Abrolhos_BOSS",-28.1139,113.4539,20210513,11:59:54,"NPZ6","Fished","out6.2",36.3,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.39"
"npz6.39","Labridae","Coris","auricularis",61.81004,1244.04602,1,2.63415068813901,6.181004,"2021-05_Abrolhos_BOSS",-28.1139,113.4539,20210513,11:59:54,"NPZ6","Fished","out6.2",36.3,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.39"
"npz6.39","Labridae","Coris","auricularis",67.53084,1969.4445,1,3.4536361746215,6.753084,"2021-05_Abrolhos_BOSS",-28.1139,113.4539,20210513,11:59:54,"NPZ6","Fished","out6.2",36.3,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.39"
"npz6.39","Labridae","Coris","auricularis",58.86644,1665.46539,1,2.26879566203058,5.886644,"2021-05_Abrolhos_BOSS",-28.1139,113.4539,20210513,11:59:54,"NPZ6","Fished","out6.2",36.3,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.39"
"npz6.39","Labridae","Coris","auricularis",70.19972,1470.65933,1,3.88853723996145,7.019972,"2021-05_Abrolhos_BOSS",-28.1139,113.4539,20210513,11:59:54,"NPZ6","Fished","out6.2",36.3,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.39"
"npz6.39","Labridae","Coris","auricularis",128.31231,2264.4759,1,24.6207382070402,12.831231,"2021-05_Abrolhos_BOSS",-28.1139,113.4539,20210513,11:59:54,"NPZ6","Fished","out6.2",36.3,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.39"
"npz6.39","Labridae","Coris","auricularis",78.8425,1544.32978,1,5.54736552934896,7.88425,"2021-05_Abrolhos_BOSS",-28.1139,113.4539,20210513,11:59:54,"NPZ6","Fished","out6.2",36.3,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.39"
"npz6.39","Labridae","Coris","auricularis",77.95224,1117.09826,1,5.3579112325871,7.795224,"2021-05_Abrolhos_BOSS",-28.1139,113.4539,20210513,11:59:54,"NPZ6","Fished","out6.2",36.3,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.39"
"npz6.39","Labridae","Coris","auricularis",61.72796,1248.53722,1,2.62346146312885,6.172796,"2021-05_Abrolhos_BOSS",-28.1139,113.4539,20210513,11:59:54,"NPZ6","Fished","out6.2",36.3,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.39"
"npz6.39","Labridae","Coris","auricularis",72.64262,1048.99397,1,4.31763562473753,7.264262,"2021-05_Abrolhos_BOSS",-28.1139,113.4539,20210513,11:59:54,"NPZ6","Fished","out6.2",36.3,"Claude","Y","Y","2021-05_Abrolhos_BOSS.npz6.39"
