OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
20210309_0735-1530	16	125	20210309_0735-1530_TOP_0011_0001.mp4	986	200.27424	20210309_0735-1530_TOP_0011_0001.mp4	11775	203.27418	1
20210309_0735-1530	17	98	20210309_0735-1530_TOP_0011_0001.mp4	40840	211.35587	20210309_0735-1530_TOP_0011_0001.mp4	51629	214.35581	1
20210309_0735-1530	18	1	20210309_0735-1530_TOP_0012_0001.mp4	17509	224.86853	20210309_0735-1530_TOP_0012_0001.mp4	28298	227.86847	1
20210309_0735-1530	19	83	20210309_0735-1530_TOP_0012_0001.mp4	59468	236.53547	20210309_0735-1530_TOP_0012_0001.mp4	70257	239.53541	1
20210309_0735-1530	20	88	20210309_0735-1530_TOP_0013_0001.mp4	32546	249.04963	20210309_0735-1530_TOP_0013_0001.mp4	43335	252.04958	1
20210309_0735-1530	21	36	20210309_0735-1530_TOP_0013_0001.mp4	67465	258.75906	20210309_0735-1530_TOP_0014_0001.mp4	6326	261.75900	1
20210309_0735-1530	22	130	20210309_0735-1530_TOP_0014_0001.mp4	38480	270.69960	20210309_0735-1530_TOP_0014_0001.mp4	49269	273.69954	1
20210309_0735-1530	23	46	20210309_0735-1530_TOP_0014_0001.mp4	70433	279.58431	20210309_0735-1530_TOP_0015_0001.mp4	9294	282.58425	1
20210309_0735-1530	24	93	20210309_0735-1530_TOP_0015_0001.mp4	42798	291.90022	20210309_0735-1530_TOP_0015_0001.mp4	53587	294.90016	1
20210309_0735-1530	25	78	20210309_0735-1530_TOP_0016_0001.mp4	5773	301.60519	20210309_0735-1530_TOP_0016_0001.mp4	16562	304.60513	1
20210309_0735-1530	26	50	20210309_0735-1530_TOP_0016_0001.mp4	42680	311.86739	20210309_0735-1530_TOP_0016_0001.mp4	53469	314.86733	1
20210309_0735-1530	27	80	20210309_0735-1530_TOP_0017_0001.mp4	18021	325.01080	20210309_0735-1530_TOP_0017_0001.mp4	28810	328.01074	1
20210309_0735-1530	28	114	20210309_0735-1530_TOP_0017_0001.mp4	56173	335.61917	20210309_0735-1530_TOP_0017_0001.mp4	66962	338.61911	1
20210309_0735-1530	29	64	20210309_0735-1530_TOP_0018_0001.mp4	21115	345.87108	20210309_0735-1530_TOP_0018_0001.mp4	31904	348.87102	1
20210309_0735-1530	30	136	20210309_0735-1530_TOP_0018_0001.mp4	65654	358.25540	20210309_0735-1530_TOP_0019_0001.mp4	4515	361.25534	1
