"sample","scientific","maxn","family","genus","species","campaignid","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","id","method"
"262","Lethrinidae Gymnocranius sp1",1,"Lethrinidae","Gymnocranius","sp1","2022-05_PtCloates_Naked-BOSS",-22.7635,113.5347,"19/05/2022 2:45","Point Cloates","No-take",91,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.262","BOSS"
"265","Lethrinidae Gymnocranius sp1",6,"Lethrinidae","Gymnocranius","sp1","2022-05_PtCloates_Naked-BOSS",-22.7561,113.529,"19/05/2022 2:58","Point Cloates","No-take",99.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.265","BOSS"
"208","Lethrinidae Lethrinus miniatus",1,"Lethrinidae","Lethrinus","miniatus","2022-05_PtCloates_Naked-BOSS",-22.7252,113.5464,"25/05/2022 4:23","Point Cloates","No-take",89.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.208","BOSS"
"253","Lethrinidae Lethrinus miniatus",1,"Lethrinidae","Lethrinus","miniatus","2022-05_PtCloates_Naked-BOSS",-22.7509,113.538,"19/05/2022 3:26","Point Cloates","No-take",91.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.253","BOSS"
"258","Lethrinidae Lethrinus miniatus",1,"Lethrinidae","Lethrinus","miniatus","2022-05_PtCloates_Naked-BOSS",-22.6958,113.5593,"26/05/2022 6:20","Point Cloates","No-take",79.6,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.258","BOSS"
"262","Lethrinidae Lethrinus miniatus",1,"Lethrinidae","Lethrinus","miniatus","2022-05_PtCloates_Naked-BOSS",-22.7635,113.5347,"19/05/2022 2:45","Point Cloates","No-take",91,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.262","BOSS"
"265","Lethrinidae Lethrinus miniatus",1,"Lethrinidae","Lethrinus","miniatus","2022-05_PtCloates_Naked-BOSS",-22.7561,113.529,"19/05/2022 2:58","Point Cloates","No-take",99.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.265","BOSS"
"270","Lethrinidae Lethrinus miniatus",2,"Lethrinidae","Lethrinus","miniatus","2022-05_PtCloates_Naked-BOSS",-22.7511,113.5387,"19/05/2022 3:37","Point Cloates","No-take",91,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.270","BOSS"
"272","Lethrinidae Lethrinus miniatus",1,"Lethrinidae","Lethrinus","miniatus","2022-05_PtCloates_Naked-BOSS",-22.7374,113.5422,"21/05/2022 7:45","Point Cloates","No-take",89.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.272","BOSS"
"273","Lethrinidae Lethrinus miniatus",1,"Lethrinidae","Lethrinus","miniatus","2022-05_PtCloates_Naked-BOSS",-22.6741,113.5665,"27/05/2022 1:48","Point Cloates","No-take",77.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.273","BOSS"
"274","Lethrinidae Lethrinus miniatus",1,"Lethrinidae","Lethrinus","miniatus","2022-05_PtCloates_Naked-BOSS",-22.7343,113.5502,"23/05/2022 0:50","Point Cloates","No-take",79.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.274","BOSS"
"50","Lethrinidae Lethrinus miniatus",1,"Lethrinidae","Lethrinus","miniatus","2021-05_PtCloates_BOSS",-22.7026,113.556,"20/05/2021 4:11","Point Cloates","No-take",77.6,"Yes","Yes","2021-05_PtCloates_BOSS.50","BOSS"
"273","Lethrinidae Lethrinus ravus",1,"Lethrinidae","Lethrinus","ravus","2022-05_PtCloates_Naked-BOSS",-22.6741,113.5665,"27/05/2022 1:48","Point Cloates","No-take",77.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.273","BOSS"
"208","Lethrinidae Lethrinus rubrioperculatus",1,"Lethrinidae","Lethrinus","rubrioperculatus","2022-05_PtCloates_Naked-BOSS",-22.7252,113.5464,"25/05/2022 4:23","Point Cloates","No-take",89.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.208","BOSS"
"274","Lethrinidae Lethrinus rubrioperculatus",2,"Lethrinidae","Lethrinus","rubrioperculatus","2022-05_PtCloates_Naked-BOSS",-22.7343,113.5502,"23/05/2022 0:50","Point Cloates","No-take",79.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.274","BOSS"
"262","Lethrinidae Unknown spp",1,"Lethrinidae","Unknown","spp","2022-05_PtCloates_Naked-BOSS",-22.7635,113.5347,"19/05/2022 2:45","Point Cloates","No-take",91,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.262","BOSS"
"262","Lutjanidae Aphareus rutilans",1,"Lutjanidae","Aphareus","rutilans","2022-05_PtCloates_Naked-BOSS",-22.7635,113.5347,"19/05/2022 2:45","Point Cloates","No-take",91,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.262","BOSS"
"264","Lutjanidae Aphareus rutilans",1,"Lutjanidae","Aphareus","rutilans","2022-05_PtCloates_Naked-BOSS",-22.7655,113.5389,"19/05/2022 2:34","Point Cloates","No-take",81.6,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.264","BOSS"
"264","Lutjanidae Lutjanus lemniscatus",1,"Lutjanidae","Lutjanus","lemniscatus","2022-05_PtCloates_Naked-BOSS",-22.7655,113.5389,"19/05/2022 2:34","Point Cloates","No-take",81.6,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.264","BOSS"
"208","Lutjanidae Lutjanus sebae",2,"Lutjanidae","Lutjanus","sebae","2022-05_PtCloates_Naked-BOSS",-22.7252,113.5464,"25/05/2022 4:23","Point Cloates","No-take",89.2,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.208","BOSS"
"221","Lutjanidae Lutjanus sebae",1,"Lutjanidae","Lutjanus","sebae","2022-05_PtCloates_Naked-BOSS",-22.7519,113.5483,"19/05/2022 2:12","Point Cloates","No-take",78.4,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.221","BOSS"
"241","Lutjanidae Lutjanus sebae",1,"Lutjanidae","Lutjanus","sebae","2022-05_PtCloates_Naked-BOSS",-22.7403,113.5387,"21/05/2022 7:31","Point Cloates","No-take",94.4,"Yes","Yes","2022-05_PtCloates_Naked-BOSS.241","BOSS"
