"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","unique_id"
"2022-05_PtCloates_Naked-BOSS","210","20220527_BOTTOM_1_0003_0001.mp4","0.18630","SUS","SUS","SUS",1,"-22.686","113.5589","2022-05-27T08:51:10+0800","Point Cloates","No-take","87.7","Yes","Yes","2022-05_PtCloates_Naked-BOSS_210"
"2022-05_PtCloates_Naked-BOSS","210","20220527_BOTTOM_1_0003_0001.mp4","0.52775","Unknown","Unknown","Unknown",1,"-22.686","113.5589","2022-05-27T08:51:10+0800","Point Cloates","No-take","87.7","Yes","Yes","2022-05_PtCloates_Naked-BOSS_210"
"2022-05_PtCloates_Naked-BOSS","211","20220519_BOTTOM_1_0006_0001.mp4","0.18018","Carangidae",NA,"spp",1,"-22.7554","113.54","2022-05-19T09:11:46+0800","Point Cloates","No-take","87.2","Yes","Yes","2022-05_PtCloates_Naked-BOSS_211"
"2022-05_PtCloates_Naked-BOSS","211","20220519_BOTTOM_1_0006_0001.mp4","0.96235","Carcharhinidae","Carcharhinus","albimarginatus",1,"-22.7554","113.54","2022-05-19T09:11:46+0800","Point Cloates","No-take","87.2","Yes","Yes","2022-05_PtCloates_Naked-BOSS_211"
"2022-05_PtCloates_Naked-BOSS","211","20220519_BOTTOM_1_0006_0001.mp4","1.76565","Serranidae","Epinephelus","areolatus",1,"-22.7554","113.54","2022-05-19T09:11:46+0800","Point Cloates","No-take","87.2","Yes","Yes","2022-05_PtCloates_Naked-BOSS_211"
"2022-05_PtCloates_Naked-BOSS","211","20220519_BOTTOM_1_0006_0001.mp4","1.05856","Serranidae","Pseudanthias","spp",4,"-22.7554","113.54","2022-05-19T09:11:46+0800","Point Cloates","No-take","87.2","Yes","Yes","2022-05_PtCloates_Naked-BOSS_211"
"2022-05_PtCloates_Naked-BOSS","211","20220519_BOTTOM_1_0006_0001.mp4","0.29613","Unknown","Unknown","Unknown",2,"-22.7554","113.54","2022-05-19T09:11:46+0800","Point Cloates","No-take","87.2","Yes","Yes","2022-05_PtCloates_Naked-BOSS_211"
"2022-05_PtCloates_Naked-BOSS","212","20220523_BOTTOM_3_0001_0001.mp4","1.28601","Labridae","Coris","caudimacula",1,"-22.728","113.556","2022-05-23T11:00:30+0800","Point Cloates","No-take","75","Yes","Yes","2022-05_PtCloates_Naked-BOSS_212"
"2022-05_PtCloates_Naked-BOSS","212","20220523_BOTTOM_3_0001_0001.mp4","0.06173","Nemipteridae","Pentapodus","nagasakiensis",1,"-22.728","113.556","2022-05-23T11:00:30+0800","Point Cloates","No-take","75","Yes","Yes","2022-05_PtCloates_Naked-BOSS_212"
"2022-05_PtCloates_Naked-BOSS","212","20220523_BOTTOM_3_0001_0001.mp4","0.47714","Pomacentridae","Amblypomacentrus","breviceps",1,"-22.728","113.556","2022-05-23T11:00:30+0800","Point Cloates","No-take","75","Yes","Yes","2022-05_PtCloates_Naked-BOSS_212"
"2022-05_PtCloates_Naked-BOSS","213","20220526_BOTTOM_3_0002_0001.mp4","1.99894","Unknown","Unknown","Unknown",2,"-22.6919","113.5534","2022-05-26T14:52:29+0800","Point Cloates","No-take","93.5","Yes","Yes","2022-05_PtCloates_Naked-BOSS_213"
"2022-05_PtCloates_Naked-BOSS","214","20220523_BOTTOM_2_0002_0001.mp4","1.10138","Pinguipedidae","Parapercis","nebulosa",1,"-22.733","113.5497","2022-05-23T09:52:30+0800","Point Cloates","No-take","81.5","Yes","Yes","2022-05_PtCloates_Naked-BOSS_214"
"2022-05_PtCloates_Naked-BOSS","216","20220521_BOTTOM_3_0004_0001.mp4","2.84284","Carangidae","Carangoides","fulvoguttatus",1,"-22.7451","113.5437","2022-05-21T14:12:02+0800","Point Cloates","No-take","86.5","Yes","Yes","2022-05_PtCloates_Naked-BOSS_216"
